ParName   Value   Gradient
MGparm[1]     0.206728 -1.61286e-06
MGparm[2]       7.9064 -1.81821e-06
MGparm[3]      28.2902  4.12264e-06
MGparm[4]     0.143023  1.38979e-06
MGparm[5]     0.257762  8.46616e-07
MGparm[6]     0.118978  2.39106e-06
SR_parm[1]      8.52848  3.95108e-06
SR_parm[5]     0.696373  3.19883e-07
recdev_early(1960)    -0.374644 -4.38436e-08
recdev_early(1961)    -0.463721  3.77195e-06
recdev_early(1962)    -0.533385 -3.86439e-06
recdev_early(1963)    -0.583208  5.18096e-07
recdev_early(1964)    -0.609446  3.04784e-06
recdev_early(1965)    -0.608167  6.36196e-07
recdev_early(1966)    -0.577494 -1.26755e-06
recdev_early(1967)    -0.518342  2.11986e-06
recdev_early(1968)     -0.43831 -9.46716e-07
recdev_early(1969)    -0.370719  7.02408e-07
recdev_early(1970)    -0.346306  1.95395e-06
recdev_early(1971)    -0.370421  3.50222e-06
recdev_early(1972)    -0.432439 -2.45093e-06
recdev_early(1973)    -0.473891  2.80775e-06
recdev_early(1974)    -0.430188 -1.32727e-06
recdev_early(1975)    -0.313808 -3.85842e-06
recdev_early(1976)    -0.192825 -2.39015e-06
recdev_early(1977)    -0.115764 -2.52874e-06
recdev1(1978)   -0.0936374  6.40587e-07
recdev1(1979)    -0.119284 -5.73921e-07
recdev1(1980)   -0.0714926 -1.34315e-06
recdev1(1981)   0.00426948  6.47452e-07
recdev1(1982)    0.0594184  -4.9818e-06
recdev1(1983)   -0.0442623 -6.34713e-07
recdev1(1984)    -0.300435 -3.01379e-06
recdev1(1985)    -0.477495 -7.23517e-07
recdev1(1986)    -0.541332  1.59962e-06
recdev1(1987)    -0.467095 -2.97325e-06
recdev1(1988)    -0.257992 -6.65097e-08
recdev1(1989)    0.0518115  5.27902e-07
recdev1(1990)     0.376576  3.16939e-06
recdev1(1991)     0.608234 -9.78439e-07
recdev1(1992)     0.716386  1.78159e-06
recdev1(1993)     0.741399 -4.54538e-06
recdev1(1994)     0.704471 -2.38127e-07
recdev1(1995)      0.58886 -1.83979e-06
recdev1(1996)     0.403602 -4.78999e-07
recdev1(1997)     0.144918 -5.93045e-07
recdev1(1998)   -0.0779301  1.24394e-06
recdev1(1999)    -0.211953  2.49139e-06
recdev1(2000)    -0.267119 -2.32648e-06
recdev1(2001)    -0.168511  9.86865e-07
recdev1(2002)    -0.108856  5.28864e-06
recdev1(2003)    -0.221358 -1.90481e-06
recdev1(2004)    -0.369663 -3.10187e-07
recdev1(2005)    -0.437218  3.34336e-06
recdev1(2006)    -0.448824  2.43388e-08
recdev1(2007)    -0.419512  2.15188e-06
recdev1(2008)    -0.346555  1.19504e-06
recdev1(2009)    -0.232312  1.40695e-06
recdev1(2010)     -0.17347  1.45114e-07
recdev1(2011)    -0.231622  3.31836e-07
recdev1(2012)     -0.21059 -1.80481e-07
recdev1(2013)   -0.0196178  3.66236e-07
recdev1(2014)     0.359224 -9.06297e-07
recdev1(2015)     0.633506  1.57179e-07
recdev1(2016)     0.539304  2.03284e-07
recdev1(2017)     0.303967 -6.30649e-07
recdev1(2018)      0.08219  1.26979e-07
Fcast_recruitments(2019)    0.0572349  7.40834e-07
Q_parm[2]    0.0730135 -5.97459e-07
Q_parm[4]     0.226512  2.14046e-06
Q_parm[6]     0.602947 -3.80752e-07
Q_parm[8]     0.209004  1.69412e-06
Q_parm[10]     0.183671   5.0946e-07
Q_parm[14]     0.278942  4.56847e-07
selparm[1]      32.3414   3.3373e-06
selparm[3]        3.139 -2.51524e-06
selparm[5]     -11.5738   7.1258e-07
selparm[7]      24.9871  2.68647e-07
selparm[8]     -9.60101 -1.36046e-05
selparm[9]      2.03805  1.39065e-06
selparm[10]      5.31672  6.95013e-08
selparm[11]     -14.0509  2.14094e-05
selparm[13]      32.3859  2.79316e-06
selparm[15]      3.28248 -1.70817e-05
selparm[17]     -11.8444 -1.58979e-07
selparm[19]      27.6206 -3.40655e-07
selparm[21]       3.2201  2.75107e-06
selparm[23]     -8.73024 -5.94255e-09
selparm[25]      30.8691  1.68807e-06
selparm[27]      3.01061 -3.23316e-06
selparm[29]     -14.8898  1.02162e-05
selparm[35]       30.398  -1.7986e-07
selparm[37]       3.9391 -5.40786e-07
selparm[39]     -2.64091 -7.63727e-07
selparm[41]       31.034 -4.77983e-06
selparm[42]     -10.6398  1.23328e-07
selparm[43]      3.15168 -8.42636e-07
selparm[44]      1.65448 -2.93069e-06
selparm[51]      28.8663 -4.39138e-07
selparm[52]      1.58166  3.63106e-07
selparm[53]     -11.6353  4.10047e-08
