"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"1916",3441.23,2837.21,2339.23,1928.65,1590.14,1311.04,1080.93,891.207,734.784,605.816,499.485,411.816,339.535,279.94,230.806,190.295,156.895,129.357,106.653,87.9332,72.4993,59.7744,49.2829,40.6329,33.5011,27.621,22.773,18.776,88.1985
"1917",3440.52,2837.23,2339.23,1928.65,1590.14,1311.03,1080.9,891.125,734.624,605.56,499.132,411.382,339.043,279.418,230.278,189.782,156.411,128.912,106.25,87.5752,72.1848,59.5008,49.0469,40.4306,33.3288,27.475,22.6498,18.6723,87.6882
"1918",3439.5,2836.64,2339.24,1928.65,1590.13,1311.02,1080.87,891.052,734.466,605.285,498.724,410.849,338.411,278.723,229.555,189.063,155.721,128.267,105.661,87.046,71.7164,59.0909,48.6915,40.1249,33.0673,27.2527,22.4617,18.5138,86.9023
"1919",3438.42,2835.8,2338.76,1928.66,1590.13,1311.02,1080.86,891.008,734.362,605.085,498.401,410.395,337.839,278.061,228.84,188.33,155,127.58,105.024,86.4667,71.1984,58.6339,48.2926,39.7799,32.7711,26.9999,22.247,18.3323,85.9942
"1920",3437.88,2834.91,2338.07,1928.26,1590.14,1311.02,1080.87,891.042,734.415,605.141,498.431,410.368,337.736,277.878,228.586,188.024,154.663,127.232,104.68,86.1393,70.8948,58.3583,48.0466,39.563,32.5821,26.8365,22.1069,18.2128,85.3791
"1921",3437.39,2834.47,2337.33,1927.69,1589.82,1311.03,1080.87,891.051,734.438,605.177,498.467,410.381,337.7,277.778,228.421,187.801,154.398,126.943,104.383,85.8474,70.6176,58.1018,47.8141,39.3558,32.3997,26.6777,21.9697,18.0951,84.7637
"1922",3437.14,2834.07,2336.96,1927.09,1589.35,1310.76,1080.89,891.071,734.482,605.254,498.576,410.508,337.821,277.866,228.457,187.779,154.322,126.824,104.235,85.6826,70.4474,57.9345,47.6556,39.2096,32.2675,26.5602,21.8665,18.0054,84.2742
"1923",3437.04,2833.86,2336.64,1926.78,1588.85,1310.38,1080.67,891.096,734.522,605.328,498.692,410.663,338,278.043,228.607,187.885,154.376,126.827,104.196,85.6134,70.3581,57.8348,47.5527,39.1089,32.1726,26.4729,21.7879,17.9357,83.8728
"1924",3436.9,2833.78,2336.47,1926.51,1588.6,1309.97,1080.35,890.911,734.53,605.342,498.727,410.726,338.09,278.151,228.713,187.97,154.426,126.838,104.169,85.5553,70.2779,57.7413,47.4534,39.0096,32.0773,26.3843,21.7073,17.8637,83.4495
"1925",3437.08,2833.66,2336.4,1926.37,1588.37,1309.76,1080.02,890.681,734.446,605.458,498.888,410.939,338.35,278.446,229.024,188.274,154.7,127.066,104.346,85.6816,70.3602,57.7881,47.4736,39.0109,32.0662,26.3656,21.6847,17.8396,83.2488
