Year,BYEL_Shore_North,BYEL_PC_North,BYEL_PR_North,BYEL_PC_South,BYEL_PR_South,GPHR_Shore_North,GPHR_PC_North,GPHR_PR_North,GPHR_PC_South,GPHR_PR_South,Shore_South
2005,0.290463536,0.949302194,3.116220002,0.069654814,0.02237987,0.356170957,21.15549789,21.64717177,5.88016301,0.61336402,
2006,0.384081354,0.676267239,2.175897216,0.025418861,0.012469575,0.085515378,17.59260283,27.18214136,1.841592594,0.239538701,0.007643931
2007,1.051766774,0.130581689,2.02874958,0.100138649,0.016874971,0.040864152,10.09544322,19.53362184,1.790107335,0.791143794,0.003799879
2008,0.964877228,0.64588133,4.050106694,0.032088542,0.051930549,0.501578341,15.65427282,23.31931011,3.012786121,0.511463171,
2009,2.007965857,1.314068994,7.732644544,0.049465852,0.021561025,0.155594525,18.49143581,35.93483474,3.334548625,0.691215072,0.20451652
2010,9.714435983,0.290895376,9.521198627,0.18290504,0.071632018,15.03727042,35.06766568,37.1319691,2.958408887,0.688716986,
2011,3.890181389,0.788027001,8.627153312,0.347872175,0.185924942,0.035550523,22.6168343,40.2020164,8.316974262,1.391134878,
2012,1.789235513,0.066883378,3.078726384,0.302998959,0.069335531,0.744778785,14.10526514,28.46368029,8.460887015,1.021550762,0
2013,1.904990372,0.160756031,3.275123222,0.069239851,0.060964657,0.514366037,11.34679913,21.22376646,7.209523515,1.518444203,
2014,4.20681766,0.412496675,3.762208715,0.490335965,0.036286023,1.142424003,16.1958145,31.24469545,7.767129015,0.765799108,
2015,5.091122251,0.518513111,3.072539988,0.051137245,0.057210869,0.690113143,21.8737632,26.8457592,4.403808425,0.463685879,
2016,1.12332872,0.594244542,3.537458688,0.297013311,0.034853319,0.438297634,28.88075305,31.1436328,5.847709134,0.394422866,
2017,5.698849373,0.515718821,4.067894612,0.243046016,0.028658737,1.532630641,12.63117737,24.90989608,10.26949929,0.610110543,
2018,0.103203233,0.128644345,2.77101025,0.203060738,0.04327805,0.077024404,10.80481607,22.59307266,5.476536133,0.577039837,
