Year,RecNorth,RecNorthalt1,RecSouthorig,RecSouthalt1,Calcom,WCGOPdiscard,WCGOPalt1,Calcomdead,Calcomlive,Pacfin,CommSource,,RecSource
1916,,,,,3.884562,,0.381075532,3.884562,0,,Catch Reconstruction,,Catch Reconstruction
1917,,,,,6.034588,,0.591993083,6.034588,0,,Catch Reconstruction,,Catch Reconstruction
1918,,,,,7.057438,,0.692334668,7.057438,0,,Catch Reconstruction,,Catch Reconstruction
1919,,,,,4.908319,,0.481506094,4.908319,0,,Catch Reconstruction,,Catch Reconstruction
1920,,,,,5.005388,,0.491028563,5.005388,0,,Catch Reconstruction,,Catch Reconstruction
1921,,,,,4.13313,,0.405460053,4.13313,0,,Catch Reconstruction,,Catch Reconstruction
1922,,,,,3.555254,,0.348770417,3.555254,0,,Catch Reconstruction,,Catch Reconstruction
1923,,,,,3.843739,,0.377070796,3.843739,0,,Catch Reconstruction,,Catch Reconstruction
1924,,,,,2.22124,,0.217903644,2.22124,0,,Catch Reconstruction,,Catch Reconstruction
1925,,,,,2.775529,,0.272279395,2.775529,0,,Catch Reconstruction,,Catch Reconstruction
1926,,,,,4.484211,,0.439901099,4.484211,0,,Catch Reconstruction,,Catch Reconstruction
1927,,,,,3.808812,,0.373644457,3.808812,0,,Catch Reconstruction,,Catch Reconstruction
1928,0.835334994,0.835334994,0.015479983,0.015479983,4.603505,,0.451603841,4.603505,0,,Catch Reconstruction,,Catch Reconstruction
1929,1.670243579,1.670243579,0.030959965,0.030959965,3.808812,,0.373644457,3.808812,0,,Catch Reconstruction,,Catch Reconstruction
1930,1.919503258,1.919503258,0.046439948,0.046439948,5.398198,,0.529563224,5.398198,0,,Catch Reconstruction,,Catch Reconstruction
1931,2.559211334,2.559211334,0.061919931,0.061919931,1.925952,,0.188935891,1.925952,0,,Catch Reconstruction,,Catch Reconstruction
1932,3.198919411,3.198919411,0.077399914,0.077399914,6.239158,,0.6120614,6.239158,0,,Catch Reconstruction,,Catch Reconstruction
1933,3.838580108,3.838580108,0.092879896,0.092879896,2.583206,,0.253412509,2.583206,0,,Catch Reconstruction,,Catch Reconstruction
1934,4.478288184,4.478288184,0.108359879,0.108359879,1.745745,,0.171257585,1.745745,0,,Catch Reconstruction,,Catch Reconstruction
1935,5.117948881,5.117948881,0.123839862,0.123839862,0.432381,,0.042416576,0.432381,0,,Catch Reconstruction,,Catch Reconstruction
1936,5.757704336,5.757704336,0.123839862,0.218752592,0.005443,,0.000533958,0.005443,0,,Catch Reconstruction,,Catch Reconstruction
1937,6.824911003,6.824911003,0.134364362,0.313665323,7.267192,,0.712911535,7.267192,0,,Catch Reconstruction,,Catch Reconstruction
1938,6.712528574,6.712528574,0.16032165,0.408578053,10.29054,,1.009501974,10.29054,0,,Catch Reconstruction,,Catch Reconstruction
1939,5.869992008,5.869992008,0.150646661,0.503490783,13.13033,,1.288085373,13.13033,0,,Catch Reconstruction,,Catch Reconstruction
1940,8.453745542,8.453745542,0.101233424,0.598403514,16.90457,,1.658338317,16.90457,0,,Catch Reconstruction,,Catch Reconstruction
1941,7.81313727,7.81313727,0.093587822,0.693316244,17.05667,,1.673259327,17.05667,0,,Catch Reconstruction,,Catch Reconstruction
1942,4.150474514,4.150474514,0.049696408,0.788228975,8.54522,,0.838286082,8.54522,0,,Catch Reconstruction,,Catch Reconstruction
1943,3.969440255,3.969440255,0.047525435,0.883141705,10.99779,,1.078883199,10.99779,0,,Catch Reconstruction,,Catch Reconstruction
1944,3.259232578,3.259232578,0.038983127,0.978054435,0.047174,,0.004627769,0.047174,0,,Catch Reconstruction,,Catch Reconstruction
1945,4.345485508,4.345485508,0.052056161,1.072967166,0.58967,,0.057846627,0.58967,0,,Catch Reconstruction,,Catch Reconstruction
1946,7.478880087,7.478880087,0.089576241,1.167879896,16.71305,,1.639550205,16.71305,0,,Catch Reconstruction,,Catch Reconstruction
1947,5.916849606,5.916849606,0.405122475,1.262792627,26.70706,,2.619962586,26.70706,0,,Catch Reconstruction,,Catch Reconstruction
1948,11.80816206,11.80816206,0.918699218,1.357705357,23.9477,,2.34926937,23.9477,0,,Catch Reconstruction,,Catch Reconstruction
1949,15.30324612,15.30324612,1.132492882,1.452618088,18.29204,,1.794449124,18.29204,0,,Catch Reconstruction,,Catch Reconstruction
1950,18.6492766,18.6492766,1.491128213,1.547530818,17.14512,,1.681936272,17.14512,0,,Catch Reconstruction,,Catch Reconstruction
1951,22.97192554,22.97192554,1.271199191,1.642443548,24.82901,,2.435725881,24.82901,0,,Catch Reconstruction,,Catch Reconstruction
1952,19.98838999,19.98838999,1.499245765,1.737356279,27.58752,,2.706335712,27.58752,0,,Catch Reconstruction,,Catch Reconstruction
1953,17.02210032,17.02210032,2.005790444,1.832269009,32.30292,,3.168916452,32.30292,0,,Catch Reconstruction,,Catch Reconstruction
1954,21.16115655,21.16115655,4.713229982,1.92718174,40.74663,,3.997244403,40.74663,0,,Catch Reconstruction,,Catch Reconstruction
1955,25.22682307,25.22682307,8.22812996,2.02209447,29.48892,,2.892863052,29.48892,0,,Catch Reconstruction,,Catch Reconstruction
1956,28.16724394,28.16724394,9.106194224,2.1170072,40.65821,,3.988570401,40.65821,0,,Catch Reconstruction,,Catch Reconstruction
1957,31.797547,31.797547,4.92315365,2.211919931,37.51964,,3.680676684,37.51964,0,,Catch Reconstruction,,Catch Reconstruction
1958,48.15430733,48.15430733,4.014695762,2.306832661,33.56307,,3.292537167,33.56307,0,,Catch Reconstruction,,Catch Reconstruction
1959,38.25304578,38.25304578,2.427714363,2.401745392,19.61687,,1.924414947,19.61687,0,,Catch Reconstruction,,Catch Reconstruction
1960,28.65628755,28.65628755,2.60960416,2.496658122,11.30141,,1.108668321,11.30141,0,,Catch Reconstruction,,Catch Reconstruction
1961,27.74301449,27.74301449,2.947756831,2.591570853,17.48695,,1.715469795,17.48695,0,,Catch Reconstruction,,Catch Reconstruction
1962,28.03875274,28.03875274,2.358856757,2.686483583,27.18404,,2.666754324,27.18404,0,,Catch Reconstruction,,Catch Reconstruction
1963,27.53421627,27.53421627,2.623715485,2.781396313,22.29368,,2.187010008,22.29368,0,,Catch Reconstruction,,Catch Reconstruction
1964,21.72908579,21.72908579,4.295600814,2.876309044,16.54963,,1.623518703,16.54963,0,,Catch Reconstruction,,Catch Reconstruction
1965,31.10084227,31.10084227,6.517969431,2.971221774,21.50148,,2.109295188,21.50148,0,,Catch Reconstruction,,Catch Reconstruction
1966,33.84677332,33.84677332,14.37472139,3.066134505,13.44474,,1.318928994,13.44474,0,,Catch Reconstruction,,Catch Reconstruction
1967,37.08454332,37.08454332,16.9838536,3.161047235,6.701622,,0.657429118,6.701622,0,,Catch Reconstruction,,Catch Reconstruction
1968,36.77710251,36.77710251,20.19566684,3.255959965,8.288595,,0.81311117,8.288595,0,,Catch Reconstruction,,Catch Reconstruction
1969,31.4617737,31.4617737,17.49870461,3.350872696,9.993555,,0.980367746,9.993555,0,,CALCOM,,Catch Reconstruction
1970,41.2544905,41.2544905,26.10066671,3.445785426,14.207887,,1.393793715,14.207887,0,,CALCOM,,Catch Reconstruction
1971,31.17527431,31.17527431,26.1295029,3.540698157,14.412912,,1.413906667,14.412912,0,,CALCOM,,Catch Reconstruction
1972,41.49607482,41.49607482,34.84690415,3.635610887,19.424206,,1.905514609,19.424206,0,,CALCOM,,Catch Reconstruction
1973,50.0229258,50.0229258,41.47200638,3.730523618,31.429903,,3.083273484,31.429903,0,,CALCOM,,Catch Reconstruction
1974,51.60490274,51.60490274,53.25033823,3.825436348,33.410291,,3.277549547,33.410291,0,,CALCOM,,Catch Reconstruction
1975,49.01394763,49.01394763,56.43477834,3.920349078,33.080981,,3.245244236,33.080981,0,,CALCOM,,Catch Reconstruction
1976,49.30035226,49.30035226,44.88538977,4.015261809,33.901986,,3.325784827,33.901986,0,,CALCOM,,Catch Reconstruction
1977,41.99208311,41.99208311,41.70557478,4.110174539,30.132174,,2.955966269,30.132174,0,,CALCOM,,Catch Reconstruction
1978,32.56967873,32.56967873,40.39628917,4.20508727,43.41011518,,4.258532299,43.41011518,0,,CALCOM,,Catch Reconstruction
1979,36.22945138,36.22945138,56.2293854,4.3,34.24438163,,3.359373838,34.24438163,0,,CALCOM,,Catch Reconstruction
1980,80.55576235,80.55576235,4.539607871,4.539607871,63.64984381,,6.244049678,63.64984381,0,,CALCOM,,MRFSS
