Year,Commercial Retained,Commercial Discard,Recreational North,Recreational South,Total
2009,35.61685845,5.37566656,65.63654,4.301307,110.930372
2010,38.83088667,3.9154083,106.7634,3.901663,153.411358
2011,42.39366423,5.722358942,76.15976,10.24191,134.5176932
2012,33.55032831,1.930561696,48.24857,9.887268,93.61672801
2013,33.45411089,2.851358084,38.4258,8.858172,83.58944097
2014,36.39646036,2.846600725,56.96446,9.05955,105.2670711
2015,43.25263178,2.929272497,58.09181,4.995421,109.2691353
2016,36.96021422,2.415427459,65.71772,6.573999,111.6673607
2017,42.03658538,1.64836056,49.35617,11.15131,104.1924259
2018,47.00072886,2.538203865,36.47777,6.299915,92.31661773
