Year,Ntrips,Nmeasured,Source
1987,2,82,CALCOM
1992,56,671,CALCOM
1993,148,1648,CALCOM
1994,170,1379,CALCOM
1995,174,1523,CALCOM
1996,256,3270,CALCOM
1997,140,1319,CALCOM
1998,206,2549,CALCOM
1999,251,3283,CALCOM
2000,384,4918,CALCOM
2001,142,2179,CALCOM
2002,59,870,CALCOM
2003,55,625,CALCOM
2004,63,770,CALCOM
2005,72,700,CALCOM
2006,31,478,CALCOM
2007,80,1165,CALCOM
2008,46,503,CALCOM
2009,73,854,CALCOM
2010,75,925,CALCOM
2011,61,858,CALCOM
2012,57,709,CALCOM
2013,48,581,CALCOM
2014,15,184,CALCOM
2015,48,578,CALCOM
2016,77,928,CALCOM
2017,67,1581,CALCOM
2018,67,1210,CALCOM
2004,72,572,WCGOP
2005,42,260,WCGOP
2006,42,266,WCGOP
2007,37,268,WCGOP
2008,12,46,WCGOP
2009,22,263,WCGOP
2010,37,344,WCGOP
2011,68,366,WCGOP
2012,69,302,WCGOP
2013,56,348,WCGOP
2014,62,388,WCGOP
2015,93,521,WCGOP
2016,56,317,WCGOP
2017,49,226,WCGOP
1959,27.1,271,N_Karpov
1960,39.4,394,N_Karpov
1961,0.8,8,N_Karpov
1966,0.7,7,N_Karpov
1980,4,164,N_MRFSS
1981,1,19,N_MRFSS
1982,1,50,N_MRFSS
1983,6,323,N_MRFSS
1984,14,849,N_MRFSS
1985,35,1027,N_MRFSS
1986,36,826,N_MRFSS
1987,28,392,N_MRFSS
1988,30,303,N_MRFSS
1989,19,303,N_MRFSS
1993,14,1094,N_MRFSS
1994,12,608,N_MRFSS
1996,74,607,N_MRFSS
1997,95,1424,N_MRFSS
1998,89,614,N_MRFSS
1999,49,1112,N_MRFSS
2000,21,695,N_MRFSS
2001,46,929,N_MRFSS
2002,58,1656,N_MRFSS
2003,72,1690,N_MRFSS
2004,19,2023,N_MRFSS
2005,30,3217,N_CRFS
2006,35,3737,N_CRFS
2007,30,3200,N_CRFS
2008,39,4165,N_CRFS
2009,43,4612,N_CRFS
2010,47,4992,N_CRFS
2011,44,4692,N_CRFS
2012,46,4904,N_CRFS
2013,40,4339,N_CRFS
2014,44,4746,N_CRFS
2015,54,5789,N_CRFS
2016,58,6265,N_CRFS
2017,44,4691,N_CRFS
2018,33,3563,N_CRFS
1959,2.1,21,S_Karpov
1960,1.4,14,S_Karpov
1961,0.1,1,S_Karpov
1975,50,159,S_Collins
1976,73,224,S_Collins
1977,96,392,S_Collins
1978,91,533,S_Collins
1980,21,53,S_MRFSS
1981,30,100,S_MRFSS
1982,17,58,S_MRFSS
1983,60,170,S_MRFSS
1984,42,150,S_MRFSS
1985,34,180,S_MRFSS
1986,28,86,S_MRFSS
1987,5,7,S_MRFSS
1988,10,30,S_MRFSS
1989,7,11,S_MRFSS
1993,8,24,S_MRFSS
1994,1,15,S_MRFSS
1996,14,32,S_MRFSS
1997,7,23,S_MRFSS
1998,19,66,S_MRFSS
1999,33,301,S_MRFSS
2000,12,58,S_MRFSS
2001,14,35,S_MRFSS
2002,22,65,S_MRFSS
2003,15,100,S_MRFSS
2004,3,42,S_MRFSS
2005,8,93,S_CRFS
2006,9,106,S_CRFS
2007,10,126,S_CRFS
2008,11,132,S_CRFS
2009,15,184,S_CRFS
2010,16,192,S_CRFS
2011,22,270,S_CRFS
2012,89,1081,S_CRFS
2013,77,930,S_CRFS
2014,49,595,S_CRFS
2015,36,436,S_CRFS
2016,37,444,S_CRFS
2017,39,478,S_CRFS
2018,26,317,S_CRFS
1987,14,73,DebWV
1988,54,664,DebWV
1989,70,727,DebWV
1990,17,109,DebWV
1991,38,722,DebWV
1992,55,838,DebWV
1993,75,614,DebWV
1994,86,735,DebWV
1995,90,1171,DebWV
1996,100,1364,DebWV
1997,107,1415,DebWV
1998,83,1048,DebWV
2001,55,222,PISCO
2002,56,438,PISCO
2003,64,473,PISCO
2004,64,312,PISCO
2005,65,241,PISCO
2006,68,220,PISCO
2007,68,156,PISCO
2008,67,198,PISCO
2009,68,154,PISCO
2010,58,144,PISCO
2011,68,260,PISCO
2012,40,183,PISCO
2013,61,258,PISCO
2014,61,313,PISCO
2015,64,622,PISCO
2016,56,346,PISCO
2017,58,317,PISCO
2018,60,264,PISCO
2007,35,2147,CCFRP
2008,52,3143,CCFRP
2009,35,1579,CCFRP
2010,32,2201,CCFRP
2011,32,1727,CCFRP
2012,32,1820,CCFRP
2013,32,685,CCFRP
2014,32,1655,CCFRP
2015,18,1121,CCFRP
2016,32,2015,CCFRP
2017,58,2402,CCFRP
2018,29,1975,CCFRP
