Label,R07500,R07750,R08000,R08250,R08500,h0390,h0550,h0710,h0850,h0990,M0140,M0180,M0220,M0260,M0300,K0070,K0110,K0150,K0200,K0250
Female M,0.193,0.193,0.193,0.193,0.193,0.27,0.234,0.213,0.202,0.195,0.14,0.18,0.22,0.26,0.3,0.193,0.193,0.193,0.193,0.193
Steepness,0.72,0.72,0.72,0.72,0.72,0.39,0.55,0.71,0.85,0.99,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
lnR0,7.5,7.75,8,8.25,8.5,9.713,9.02,8.618,8.393,8.231,7.608,8.159,8.701,9.246,9.801,8.057,8.046,8.026,7.991,7.96
Total unfished biomass (mt),1136.52,1494.09,1948.53,2528.35,3313.95,4035.93,2872,2389.96,2158.79,2009.99,2325.92,2290.85,2396.04,2613.52,2993.24,2049.72,2045.8,1992.79,1901.63,1856.94
Depletion,0.383,0.372,0.424,0.506,0.594,0.375,0.428,0.46,0.479,0.493,0.323,0.403,0.474,0.536,0.588,0.401,0.44,0.457,0.468,0.49
SPR ratio,0.994,0.991,1,1,1,0.992,1,1,1,1,0.966,1,1,1,1,1,1,1,1,1
Female Lmin,12.286,12.793,13.346,13.684,13.928,10.079,9.816,9.673,9.596,9.544,9.426,9.566,9.685,9.762,9.755,13.944,13.366,12.392,10.731,9.713
Female Lmax,27.472,28.252,28.781,28.67,28.234,28.737,28.547,28.449,28.384,28.337,27.908,28.092,28.512,28.917,29.456,29.869,28.727,27.918,27.291,26.623
Female K,0.141,0.124,0.108,0.108,0.121,0.104,0.117,0.124,0.128,0.131,0.178,0.148,0.12,0.094,0.07,0.07,0.11,0.15,0.2,0.25
Negative log-likelihood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOTAL,559.534,538.719,530.288,532.865,540.311,525.264,519.361,516.487,515.183,515.701,520.871,517.089,516.391,517.292,518.962,531.894,530.113,532.028,536.736,542.956
Catch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survey,-29.365,-30.936,-33.596,-35.55,-35.828,-30.364,-31.677,-32.156,-32.354,-32.464,-31.779,-32.254,-32.13,-31.836,-31.484,-34.862,-33.971,-32.577,-30.839,-29.449
Length\_comp,414.223,412.117,411.336,413.521,417.354,373.671,372.783,372.471,372.347,372.287,373.347,372.678,372.451,372.592,372.879,411.357,411.617,413.728,416.306,417.995
Age\_comp,154.095,146.666,146.607,149.754,152.406,191.654,190.341,189.598,189.176,188.875,191.76,189.929,189.556,189.863,190.581,149.966,146.857,144.617,144.223,146.401
Recruitment,20.58,10.871,5.94,5.139,6.379,-11.556,-12.693,-13.475,-13.94,-14.275,-12.729,-13.281,-13.537,-13.567,-13.529,5.432,5.609,6.259,7.045,8.008
Parm\_priors,0,0,0,0,0,1.853,0.602,0.044,-0.051,1.273,0.267,0.012,0.045,0.232,0.508,0,0,0,0,0
Parm\_softbounds,0.001,0.001,0.001,0.001,0.001,0.007,0.006,0.005,0.005,0.005,0.004,0.005,0.005,0.008,0.009,0.001,0.001,0.001,0.001,0.001
