Label,Base,Fix M a prio,Fix k at external,PacFIN comps,Default,Harmonic
TOTAL_like,516.362,516.606,524.707,508.204,4041.05,1734.79
Catch_like,0,0,0,0,0,0
Equil_catch_like,0,0,0,0,0,0
Survey_like,-32.175,-32.251,-31.213,-31.905,-25.082,-27.594
Length_comp_like,372.458,372.549,373.98,365.193,2192.1,1015.78
Age_comp_like,189.563,189.702,194.772,188.815,1872.77,753.417
Recruitment_like,-13.514,-13.399,-12.944,-13.992,1.132,-6.873
Param_prior_like,0.024,0,0.107,0.087,0.127,0.051
Param_softbounds_like,0.005,0.005,0.006,0.007,0.009,0.007
Female_M,0.212,0.193,0.157,0.231,0.241,0.222
Steepness,0.72,0.72,0.72,0.72,0.72,0.72
lnR0,8.599,8.333,7.858,8.865,9.029,8.805
Total Biomass,2369.39,2313.35,2322.8,2307.7,2321.26,2439.02
Depletion,0.462,0.427,0.425,0,0.496,0.494
SPR ratio,1,1,1,0,1,1
L_at_Amin_Fem_GP_1,9.666,9.609,8.533,9.915,9.615,9.877
L_at_Amax_Fem_GP_1,28.444,28.229,26.394,27.791,27.236,27.645
VonBert_K_Fem_GP_1,0.125,0.138,0.247,0.107,0.105,0.115
No. para,112,111,111,112,112,112
